Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,5.722753,9.003837,5.327878,8.207697,8.207697,53716
2021-09-16,8.208770,11.205502,8.206098,10.899694,10.899694,22999
2021-09-17,10.900894,12.522360,4.473032,5.499922,5.499922,2476582
2021-09-18,5.500067,7.038774,4.748579,5.230297,5.230297,2142274
2021-09-19,5.229775,6.917366,5.108173,6.717963,6.717963,5100196
2021-09-20,6.717849,7.001649,5.389814,5.715652,5.715652,7061239
2021-09-21,5.715192,6.150362,5.522631,5.608623,5.608623,6110080
2021-09-22,5.610294,11.404760,5.139101,10.828484,10.828484,15193260
2021-09-23,10.828973,14.896301,9.709084,12.940592,12.940592,21149878
2021-09-24,12.942630,18.205517,12.299135,16.262245,16.262245,22098690
2021-09-25,16.261843,19.024929,15.982980,16.327074,16.327074,16436727
2021-09-26,16.327246,16.716419,13.650028,15.672657,15.672657,17186731
2021-09-27,15.672556,17.026529,15.054647,15.234429,15.234429,12992485
2021-09-28,15.234134,16.307669,14.271240,14.715530,14.715530,18483992
2021-09-29,14.715092,18.975040,14.338058,15.716083,15.716083,10193507
2021-09-30,15.715640,17.057335,15.338777,16.134295,16.134295,10864231
2021-10-01,16.831886,19.675631,15.805722,17.372761,17.372761,26033029
2021-10-02,17.373865,20.829763,17.352537,17.431150,17.431150,26592471
2021-10-03,17.428305,18.522669,17.020716,17.282852,17.282852,25949031
2021-10-04,17.282364,17.569830,16.882439,16.967190,16.967190,21511515
2021-10-05,16.967400,16.982880,13.756309,13.977515,13.977515,22106962
2021-10-06,13.977320,13.977320,11.906946,13.081169,13.081169,22070683
2021-10-07,13.079672,13.840935,12.404494,13.449281,13.449281,16108541
2021-10-08,13.449632,13.532419,12.691808,12.854538,12.854538,15913821
2021-10-09,12.855388,13.736786,10.665848,10.728859,10.728859,27303648
2021-10-10,10.727658,10.887834,8.703878,9.186435,9.186435,26494086
2021-10-11,9.187292,9.852977,9.084831,9.368776,9.368776,9880003
2021-10-12,9.365590,9.654857,9.018886,9.582789,9.582789,14503354
2021-10-13,9.583887,11.044206,9.563063,10.798632,10.798632,10762407
2021-10-14,10.798238,11.606199,10.614802,11.522580,11.522580,11428455
2021-10-15,11.522425,12.066713,11.092089,11.534513,11.534513,18519698
2021-10-16,11.534917,11.586956,10.373932,10.373932,10.373932,7653942
